
Результат в узлах (веса):
 ___________________________________________________________________ 
| № элемента     | x              | y              | u*             |
|----------------|----------------|----------------|----------------|
| 1              | -1.500000      | 0.000000       | 0.000000e+00   | 
| 2              | -0.769635      | 0.000000       | -6.774600e-07  | 
| 3              | -0.040000      | 0.000000       | 3.663103e-05   | 
| 4              | -0.025000      | 0.000000       | 4.505333e-02   | 
| 5              | -0.023251      | 0.000000       | 4.497181e-02   | 
| 6              | -0.021500      | 0.000000       | 4.471923e-02   | 
| 7              | -0.013500      | 0.000000       | 4.133341e-02   | 
| 8              | -0.010000      | 0.000000       | 3.717807e-02   | 
| 9              | 0.010000       | 0.000000       | -3.839396e-02  | 
| 10             | 0.013500       | 0.000000       | -4.247993e-02  | 
| 11             | 0.021500       | 0.000000       | -4.583350e-02  | 
| 12             | 0.023251       | 0.000000       | -4.611691e-02  | 
| 13             | 0.025000       | 0.000000       | -4.621752e-02  | 
| 14             | 0.040000       | 0.000000       | -2.324741e-05  | 
| 15             | 1.500000       | 0.000000       | 0.000000e+00   | 
| 16             | -1.500000      | 0.002000       | 0.000000e+00   | 
| 17             | -0.769635      | 0.002000       | -6.704410e-07  | 
| 18             | -0.040000      | 0.002000       | 3.660208e-05   | 
| 19             | -0.025000      | 0.002000       | 4.516598e-02   | 
| 20             | -0.023251      | 0.002000       | 4.508467e-02   | 
| 21             | -0.021500      | 0.002000       | 4.482902e-02   | 
| 22             | -0.013500      | 0.002000       | 4.145774e-02   | 
| 23             | -0.010000      | 0.002000       | 3.837985e-02   | 
| 24             | 0.010000       | 0.002000       | -3.959946e-02  | 
| 25             | 0.013500       | 0.002000       | -4.260285e-02  | 
| 26             | 0.021500       | 0.002000       | -4.592250e-02  | 
| 27             | 0.023251       | 0.002000       | -4.625451e-02  | 
| 28             | 0.025000       | 0.002000       | -4.635599e-02  | 
| 29             | 0.040000       | 0.002000       | -2.323410e-05  | 
| 30             | 1.500000       | 0.002000       | 0.000000e+00   | 
| 31             | -1.500000      | 0.018500       | 0.000000e+00   | 
| 32             | -0.769635      | 0.018500       | -6.519653e-08  | 
| 33             | -0.040000      | 0.018500       | 3.410946e-05   | 
| 34             | -0.025000      | 0.018500       | 5.102611e-02   | 
| 35             | -0.023251      | 0.018500       | 5.106817e-02   | 
| 36             | -0.021500      | 0.018500       | 5.117753e-02   | 
| 37             | -0.013500      | 0.018500       | 5.141075e-02   | 
| 38             | -0.010000      | 0.018500       | 5.206242e-02   | 
| 39             | 0.010000       | 0.018500       | -5.291806e-02  | 
| 40             | 0.013500       | 0.018500       | -5.250311e-02  | 
| 41             | 0.021500       | 0.018500       | -5.250310e-02  | 
| 42             | 0.023251       | 0.018500       | -5.219786e-02  | 
